ID,Oneida,English,Audio File
298,"Khále’ niwahyowanʌse̲’","And the berries are real big.","./audio/298.mp3"
299,"Tahnu wé:ni tsi’ niyotahyú:ni̲","It looks like there are a lot of berries.","./audio/299.mp3"
300,"Ni:yót ni:yohahe:súse̲’","Look at the long rows","./audio/300.mp3"
301,"Hʌ: tahnu: tsi’ nikahʌtowá:n","Yes, and it is a big field","./audio/301.mp3"
302,"Wahsatkatho’ kʌ i:si’ nukwa tkahʌtayʌ nén awʌhihte̲’","Do you see the strawberry field over there?","./audio/302.mp3"
303,"ʌswisto:kwanuste̲’","freeze them","./audio/303.mp3"
304,"kʌ’ niwahya:sa’","small berries","./audio/304.mp3"
305,"uyʌ:tane̲’","berries are done","./audio/305.mp3"
306,"teyohyahyotsis","sour fruit","./audio/306.mp3"
307,"ʌsata:yálite̲","can fruit","./audio/307.mp3"
308,"wa’katnan̲e̲’","I filled (a basket)","./audio/308.mp3"
309,"ashé:nute̲","basket","./audio/309.mp3"
310,"yohahe:súse̲̲’","long rows","./audio/310.mp3"
311,"Kahʌtowá:n","big field","./audio/311.mp3"
312,"kahʌ:táyʌ̲","field","./audio/312.mp3"
313,"Wé:ne tsi’ nʌ kukwité:ne tsi’ nʌ é:so yontlatute’ nén kalutó:tu̲","it must be springtime because there are a lot of leaves on the trees.","./audio/313.mp3"
314,"O’nu:wa: kʌ ʌsátste’ nén ʌsata’slú:ni̲","are you going to use the strips of black ash when you make a basket?","./audio/314.mp3"
315,"Takʌ ʌtesahítyak tho ká:yʌ nén o:nhahte̲’","don’t trip on the branch laying there.","./audio/315.mp3"
316,"Wé:ne tsi’ latunyá:ne’ nén wáhta óshes","I guess he’s going to make maple syrup","./audio/316.mp3"
317,"Laksótha wahahkalotʌ nén wáhta kalútote̲’","my grandfather tapped the maple tree.","./audio/317.mp3"
318,"Né: kʌ nén kwah ok thikuné:se’ ótsitsi","is it the wild flowers?","./audio/318.mp3"
319,"Hao’ tsi’ kalhayʌ’ yeheten tnitsi’tsyakóna̲","let’s go to the forest to gather flowers.","./audio/319.mp3"
320,"óshes","sap or syrup","./audio/320.mp3"
321,"kalutó:tu̲:","group of trees","./audio/321.mp3"
322,"kelhíhte̲’","forest trees","./audio/322.mp3"
323,"o’nú:w̲a̲:","strips of black ash","./audio/323.mp3"
324,"ká:nʌhe̲’","seed","./audio/324.mp3"
325,"kaská:wayʌ̲’","bushes","./audio/325.mp3"
326,"onláhte̲’","leaf","./audio/326.mp3"
327,"kalhayʌ’","forest","./audio/327.mp3"
328,"o:nháhte̲’","unattached branch","./audio/328.mp3"
329,"yo'nháhtot̲e̲’","attached branch","./audio/329.mp3"
330,"Takʌ só:tsi’ akta nyʌhʌse’ tsi’ tkalutóte’ nén aslók","don’t go near the thorn tree.","./audio/330.mp3"
331,"Hʌ  né: ki’ kanutunyúhe̲’","yes, I’m thinking about it.","./audio/331.mp3"
332,"Ok nén wihsu ʌsatayalíte’ kʌ nʌ né:","what about the plums, are you going to can them?","./audio/332.mp3"
333,"Hao’ ki’wah tho’nʌ ʌtyatayálite̲’","ok then we will can it.","./audio/333.mp3"
334,"Hao’ kwi tyahyaka tsi’ tkalutote’ nén e:lí̲","come, lets get the fruit from the cherry tree.","./audio/334.mp3"
335,"Tah yah kwi te’wakanúhte̲","no, I didn’t know","./audio/335.mp3"
336,"Sanúhte’ kʌ tsi’ lutitslunyatha’ nén tekanʌ’takwʌhtʌ̲","do you know that they make tea from cedar?","./audio/336.mp3"
337,"tsiláhsal","ironwood","./audio/337.mp3"
338,"yonahsa’kʌ́slal̲e̲’","spruce","./audio/338.mp3"
339,"o’ne:yál","beech","./audio/339.mp3"
340,"ohnakʌhsa̲’","white birch","./audio/340.mp3"
341,"aslók","thorn","./audio/341.mp3"
342,"wíhsu̲’","plum","./audio/342.mp3"
343,"kanʌ’tú:sa’","hemlock pine","./audio/343.mp3"
344,"tsyohsó:kwes","butternut","./audio/344.mp3"
345,"e:lí̲","cherry","./audio/345.mp3"
346,"tekanʌ’takwʌ́htʌ̲’","cedar","./audio/346.mp3"
347,"Washeyatló:loke’ kati’ kʌ nén tsistoka’tá:n̲e̲’","Did you watch the fireflies?","./audio/347.mp3"
348,"Wa’keyatló:loke’ nén kana:wʌ: kʌ’ latityenutyese̲’","I watched the butterflies flying around.","./audio/348.mp3"
349,"Yah kati’ kʌ otsi’nuhwahé:ta̲’","isn’t it the earthworm","./audio/349.mp3"
350,"Sanúhte’ kʌ na’katsi’nuyótʌ lutsta nʌ ukuyohkawinésa̲’","Do you know what kind of insect they use when they go fishing?","./audio/350.mp3"
351,"Kwa’nyo lotityohkwanʌ nén okalyahtá:ne̲’","There are sure a lot of mosquitoes.","./audio/351.mp3"
352,"Nok ʌwá:tu ʌsehnikúlalake takʌ’ tʌyawe’est tsinuhnehklís","You have to be careful that the bee doesn't sting you.","./audio/352.mp3"
353,"Né: kwi: nu’u:wa ʌyethina’tuni  tsyokna’katsi’nuyotʌse̲’","We will name the different kinds of insects","./audio/353.mp3"
354,"watlʌ:náyʌhe̲’","praying mantis","./audio/354.mp3"
355,"otsi’nuwahéta̲’","earthworm","./audio/355.mp3"
356,"tsistoka’tá:ne̲’","firefly","./audio/356.mp3"
357,"slíkslik","cricket","./audio/357.mp3"
358,"okalyahtá:ne̲’","mosquito","./audio/358.mp3"
359,"tsistalak","grasshopper","./audio/359.mp3"
360,"onhwalá:n̲e̲’","caterpiller","./audio/360.mp3"
361,"kana:wʌ̲́:","butterfly","./audio/361.mp3"
362,"tsinuhnéhklis","bee","./audio/362.mp3"
363,"tsi’nhutstókhwi̲’","ant","./audio/363.mp3"
364,"Wa’eskalakone’ kʌ nén sanulha","Is your mother going to pick flax?","./audio/364.mp3"
365,"Wahsahyaka’ káti’ kʌ nén shá:yese̲’","Are you going to pick thimbleberries?","./audio/365.mp3"
366,"Hʌ thonʌ wá:yat ʌkatú:ni̲","Yes, then I am going to make pie.","./audio/366.mp3"
367,"Wahsahyaka kʌ  alá:sek","Are you going to pick elderberries?","./audio/367.mp3"
368,"Né: ki’ tat sahsaka khále’ satholyahslyúse̲","it’s for coughs and if you have a cold.","./audio/368.mp3"
369,"Náhte’ né: yotlihute̲","What is it used for?","./audio/369.mp3"
370,"Hao’ kwi tnikó:na nén onunó:li̲:","lets go get some sweet flax","./audio/370.mp3"
371,"ohté:la̲’","root","./audio/371.mp3"
372,"kanʌhe̲’","seed","./audio/372.mp3"
373,"okuhsyu:ta̲","sunflower","./audio/373.mp3"
374,"ohyu:kwál̲a̲’","thistle","./audio/374.mp3"
375,"óskal̲e̲’","flax","./audio/375.mp3"
376,"ala:sék","elderberry","./audio/376.mp3"
377,"otshohkhwi̲","blueberry","./audio/377.mp3"
378,"teyothutá:ktu̲","blackcap","./audio/378.mp3"
379,"shá:yese̲’","thimbleberry","./audio/379.mp3"
380,"Tsi’  niwaku’weskwanihe’ nén  akeyatloló:ke’ nén laulau tho latityenutyese̲’","I like to see the hummingbirds flying around.","./audio/380.mp3"
381,"Hʌ nok tsi’ yah ki’ nuwʌtu te’wake’waláku","yes but I have never eaten the meat","./audio/381.mp3"
382,"Nʌ kʌ né: nʌwʌtu shekʌ nén kwah ok thikuné:se’ skawiló:wan̲e̲’","did you ever see the wild turkey?","./audio/382.mp3"
383,"Hʌ thoki’ Springbank thunése’","yes they are at the Springbank","./audio/383.mp3"
384,"Nʌ kʌ nise: nʌwʌtu hetskʌ nén wa’kohseskó:","did you ever see the peacock?","./audio/384.mp3"
385,"Wé:ne kwi tsiskó:ko","I guess the robin","./audio/385.mp3"
386,"Náhte’ ne na’katsi’tʌslotʌ kwah tyotyelʌtu ʌswawe’ nʌ́: kukwí:te̲","what is the first bird to return in the spring?","./audio/386.mp3"
387,"wa’kohseskó","peacock","./audio/387.mp3"
388,"skawiló:wane̲’","turkey","./audio/388.mp3"
389,"kalhakú:h̲a̲","chicken hawk","./audio/389.mp3"
390,"ká:ka’","crow","./audio/390.mp3"
391,"kwaló:lu̲","owl","./audio/391.mp3"
392,"Tekahnekákhwa̲:","swallow (a bird)","./audio/392.mp3"
393,"kanata’kékha","sparrow","./audio/393.mp3"
394,"tsiskó:ko’","robin","./audio/394.mp3"
395,"otsi’nkwalá","goldfinch","./audio/395.mp3"
396,"Laulau","hummingbird","./audio/396.mp3"
397,"Ok nén kohkwá:e","what about the quail or bobwhite?","./audio/397.mp3"
398,"Onikwʌhtala: ki’ nén kohslakweku kʌ’ lʌ:nése̲’","cardinals stay here all winter.","./audio/398.mp3"
399,"Náhte’ káti’ né: na’katsi’tʌ’slotʌ kʌ’ kunese’ kohslakwé:ku̲","what kind of birds stay all winter?","./audio/399.mp3"
400,"Talu’kó: kwi nén ʌti nyekunese’ nʌ kanana’kene̲","Ducks go south in the fall.","./audio/400.mp3"
401,"Náhte’ káti’ né: na’katsitʌ’slotʌ’ nén ʌti nukwá nyekunese’ nén kananakene̲","what kind of birds go south in the fall?","./audio/401.mp3"
402,"Né: ki’ nén atú:nyote’ kwah tkuwalihowanáhtu","it is the eagle they hold most high","./audio/402.mp3"
403,"Náhte’ na’katsi’tʌ sló:tʌ kwah tkuwalihowanáhtu nén Onʌyota’a:ka","What bird do Oneida people hold most high?","./audio/403.mp3"
404,"tawistáwi̲","kildeer","./audio/404.mp3"
405,"olí:te̲:","mourning dove","./audio/405.mp3"
406,"atú:nyote̲’","eagle","./audio/406.mp3"
407,"talu’kó","duck","./audio/407.mp3"
408,"lalutastohoksha̲","woodpecker","./audio/408.mp3"
409,"kohkwá:e","bobwhite or quail","./audio/409.mp3"
410,"klikli","bluejay","./audio/410.mp3"
411,"onikwʌhtala","cardinal","./audio/411.mp3"
412,"taluló:lu̲","bluebird","./audio/412.mp3"
413,"kahúk","wild goose","./audio/413.mp3"
414,"Sanúhte’ kʌ to:nihoti’taláke nén Onʌyota’a:ka̲","Do you know how many clans Oneida people have?","./audio/414.mp3"
415,"Hao’ kwi tasna’tuni nén tsi’ nihoti’taló:tʌse̲’","You name the clans then","./audio/415.mp3"
416,"Hao’  ohkwá:li  a’nó:wal khále’ othayú:ni̲","Ok, bear, turtle and wolf","./audio/416.mp3"
417,"Sanúhte’ káti’ kʌ tsi’ sanulha tsi’ nityakotwatsilí:nu né: katáti","Do you know that you follow your mother’s line?","./audio/417.mp3"
418,"Teyotuhutsyu kwi né: ahonanuhteke’ ka’i:kʌ nén ukwahwá:tsile̲’","Our families should know this","./audio/418.mp3"
419,"otala'shúh̲a̲","clans","./audio/419.mp3"
420,"watahsatalha̲'","television","./audio/420.mp3"
421,"atekhwahlakhwa̲’","table","./audio/421.mp3"
422,"tsi' yekunya'takhwa̲’","stove","./audio/422.mp3"
423,"tsi’ yelatʌstakhwa̲’","steps or stairs","./audio/423.mp3"
424,"yutkʌhakwʌhtalhó:tha̲’","rug","./audio/424.mp3"
425,"tsi’ yutolishʌtakhwa̲’","couch or lounge","./audio/425.mp3"
426,"tsi’ yenʌhale’taynukhwa̲’","laundry room","./audio/426.mp3"
427,"yetsistotakhwa̲’","lamp","./audio/427.mp3"
428,"tsi’ yekunyatha̲’","kitchen","./audio/428.mp3"
429,"uhutu yonhoka:lute̲’","front door","./audio/429.mp3"
430,"tsi’ yutekhwawistotakhwa̲’","fridge","./audio/430.mp3"
431,"tsi’ lutekunyatha̲’","dining room","./audio/431.mp3"
432,"tsi’ yutslunyakwihalákhwa̲’","coat rack","./audio/432.mp3"
433,"yelistalhó:tha̲’","clothes iron","./audio/433.mp3"
434,"yutslunyakwihalakhwa̲’","closet","./audio/434.mp3"
435,"anitskwalakhwa̲’","chair","./audio/435.mp3"
436,"wa’shalowá:n","butcher knife","./audio/436.mp3"
437,"tsi’ yunuwehtsta̲’","bedroom","./audio/437.mp3"
438,"ka:nákte̲’","bed","./audio/438.mp3"
439,"ohnákʌ’ yonhoka:lute̲’","back door","./audio/439.mp3"
440,"Watlu’ niyowista:e tsi’ niyole: ahsʌ swatye:lʌ kayé:  ","9:00 until 3:00 sometimes 4:00","./audio/440.mp3"
441,"Ohniyotuhati nu’ú:wa̲’ ","What’s going on today?","./audio/441.mp3"
442,"elhúwa kateyʌtet ","(just now) new learner","./audio/442.mp3"
443,"Watsyok ʌtutaoyʌte̲","the speakers will be coming in today","./audio/443.mp3"
444,"Katsi’tsyókwas khále’ Kanʌhlʌt kʌ íknehse’ nu’úwa̲ ","Katsi’tsyókwas and Kanʌhlʌt are here today","./audio/444.mp3"
445,"Í:selhe’ kʌ Twatéyʌtet Onʌyota’á:ka̲  ","Do you want an Oneida Lesson book?","./audio/445.mp3"
446,"Yah te waki ","I don't have any","./audio/446.mp3"
447,"tewakenhala:u","I am busy","./audio/447.mp3"
448,"tyotkút tewakenhala:u ukwehu:wehneke","I am always busy with the language","./audio/448.mp3"
449,"E:so ukyatakenha’ ukwehuwehne:ke akatwanú:tak","It helps me speak Oneida","./audio/449.mp3"
450,"E:so waki tsyok náhte’shu ukwehuweneke kaya:tale̲","I have lots of things for our language(pictures)","./audio/450.mp3"
451,"tʌyakwatahyá:lihte̲’","we will have strawberries","./audio/451.mp3"
452,"ʌyokalawe̲’","tonight","./audio/452.mp3"
453,"ʌkatá:yalihte̲’","for me to can","./audio/453.mp3"
454,"ʌsata:yalíte̲’","for you to can","./audio/454.mp3"
455,"ʌyolhʌne̲","tomorrow","./audio/455.mp3"
456,"kawistokwanʌsta̲","freezer","./audio/456.mp3"
457,"ʌkwisto:kwanʌste̲’","I will freeze it","./audio/457.mp3"
458,"kʌtyohkwá:nʌ̲","a lot of people","./audio/458.mp3"
459,"Atsyók wakahyákha’ awʌhíhte’ ʌwá:tu tʌ:yakwatahyá:lite’ ʌyokalawe̲’","I am going to pick strawberries afterwhile so that we can have some tonight","./audio/459.mp3"
460,"Okna’ kʌ yohyáli̲","are the berries ripe already?","./audio/460.mp3"
461,"Hʌ́: nʌki’ yohyáli̲","Yes the berries are ripe","./audio/461.mp3"
462,"Wé:ni kwi: ʌyolhʌne’ ni: ʌkahyakha I:sʌ takatahyalihte̲’","I guess I will go and pick berries tomorrow so I can have some berries too.","./audio/462.mp3"
463,"I:kelhe’ sʌ tohka nikanutotslake akwistokwanʌste’ ok’ni’i:se̲’","I want to freeze a few boxes, what about you?","./audio/463.mp3"
464,"Yah ki' ni: teyukwáyʌ kawisto’kwanʌsta̲  Wé:ni kwi: ʌkatá:yalihte’ ni’ i:","we don't have a freezer, so I have to can mine","./audio/464.mp3"
465,"Kʌtyohkwanʌ kyu’utewí:ne latiwisto’kwanʌsta tsyok nahohte̲","I guess a lot of people freeze almost anything","./audio/465.mp3"
466,"awʌhíhte̲’","strawberry","./audio/466.mp3"
467,"wakhyatuhslú:nti","i lost my card (paper)","./audio/467.mp3"
468,"yotóktani: akhyatuhsehli̲","it expired (my card)","./audio/468.mp3"
469,"a:sé usaskhuni","make me a new one","./audio/469.mp3"
470,"tewakatuhutsyoní status card","I need my status card","./audio/470.mp3"
471,"í:kelhe’ akhwistako","I want to get my money","./audio/471.mp3"
472,"í:kelhe’ akalyákha wakatkaló:t","I want to pay my bill","./audio/472.mp3"
473,"í:kehle’ thoyaukyatuhslú:ti̲","I want to put these papers in (to finance for example)","./audio/473.mp3"
474,"snanhú: ka’í:kʌ kayatuhsehli̲","you fill out this paper","./audio/474.mp3"
475,"tasataoyát","enter (come on in)","./audio/475.mp3"
476,"isi’ yonhakalú:te̲","there is the door","./audio/476.mp3"
477,"náhte’ tesatuhútsyoni̲","what do you need?","./audio/477.mp3"
478,"satnutút nyá:lek̲w̲e̲","wait a minute","./audio/478.mp3"
479,"luwatiya’takenhas","he or she is helping them","./audio/479.mp3"
480,"ʌwatú:kʌ akuya’takenha̲’","can I help you?","./audio/480.mp3"
481,"shekoli skʌna’kó: kʌ́","hello, are you at peace?","./audio/481.mp3"
482,"kheya'takenhas ukwe:hu:we̲","helping the original people","./audio/482.mp3"
483,"wahsakayu:tese̲’","thundering","./audio/483.mp3"
484,"luhyohkawí:nese̲’","they are fishing","./audio/484.mp3"
485,"latitsyayé:nas","they are catching fish","./audio/485.mp3"
486,"kayʌhakta","near the river","./audio/486.mp3"
487,"aslí:ye̲","string","./audio/487.mp3"
488,"nʌ ki’ kukwité:ne  nʌ ya’kahewe’ tsi’ nihuyohkawiné:se̲","it is now spring, it is time to fish","./audio/488.mp3"
489,"Sanúhte’ kʌ náhte’ lutsta nʌ uhoyóhkawin̲e̲","do you know what they use when they fish?","./audio/489.mp3"
490,"hʌ asliyé: kʌs ataslá:ke wahʌnohalʌ̲","yes they put a string on a stick","./audio/490.mp3"
491,"su’weskwanihe’ kʌ nise: asahyohkawin̲e̲","do you like (enjoy) to fish?","./audio/491.mp3"
492,"hʌ  tatki’ wʌhnisli:yo̲","yes if it is a nice day","./audio/492.mp3"
493,"katsha’ kʌs nu: wahsayohkawinesa̲’","where do you go to fish?","./audio/493.mp3"
494,"tho ki' kahyʌhaku̲","at the river","./audio/494.mp3"
495,"áhta’ né: ka’í:kʌ̲","this is a shoe or boot","./audio/495.mp3"
496,"aná:lole’ né: ka’í:kʌ̲","this is a hat","./audio/496.mp3"
497,"kohsla’kekha’ atslunyá:k̲h̲w̲a̲’","winter clothing","./audio/497.mp3"
498,"kohsla’kekha’ atyá:tawiht","winter jacket","./audio/498.mp3"
499,"kohsla’kekha’ a’nhuskwál̲h̲a̲’","winter pants","./audio/499.mp3"
500,"a'nyá:nawʌ̲","glove","./audio/500.mp3"
501,"yunihtyákta̲","scarf","./audio/501.mp3"
502,"Onʌyota’a:ká: niwakuhutsyó:tʌ̲","Oneida is my nation","./audio/502.mp3"
503,"Thiwésa is my name","Thiwésa ní: yukyáts","./audio/503.mp3"
504,"ohkwalí niwaki’taló:tʌ̲","bear is my clan","./audio/504.mp3"
505,"Onʌyota’a:ká: ukwehuwé:ne nú: teknakéhl̲e̲’","Oneida reserve is where I live","./audio/505.mp3"
506,"Clara yohatati tsi' nú: teknakéhl̲e̲’","Clara road is where I live on","./audio/506.mp3"
507,"Tsyá:tak niwashʌ watlu’ na’tewakohsliyá:ku̲","seventy nine is how old I am","./audio/507.mp3"
508,"Onʌyota’á:ka Lutwʌnutakhwa’ Kʌtyohkwayʌ tsi’ nú: yekatawyá:th̲a̲’","Oneida Language Centre is where I go to school","./audio/508.mp3"
509,"Lillian yutatyáts aknulha","Lillian is my mother’s name","./audio/509.mp3"
510,"Joseph luwa:yáts lake’nih̲a̲","Joseph is my father’s name","./audio/510.mp3"
511,"Sophie né: yutatyáts aksóth̲a̲","Sophie is  my grandmother’s name","./audio/511.mp3"
512,"Sandy né: luwa:yáts laksóth̲a̲","Sandy is my grandfather's name","./audio/512.mp3"
513,"tho ya’sa:tí kana:tsyaku̲","you put it in the pot","./audio/513.mp3"
514,"tho ya’sa:tí ate’skutakhwá:slaku̲","you put it in the frying pan","./audio/514.mp3"
515,"swayʌ́tako:n̲a̲’","you 3 get more wood","./audio/515.mp3"
516,"o:yʌte̲","wood","./audio/516.mp3"
517,"salha:lé: kʌ","are you ready?","./audio/517.mp3"
518,"ʌse’nikú:lalak","you will keep watch!","./audio/518.mp3"
519,"ate’skutákhw̲a̲’","frying pan","./audio/519.mp3"
520,"yona'talastátu̲","crackers","./audio/520.mp3"
521,"koskos o’wá:l̲u̲’","bacon or ham (pig meat)","./audio/521.mp3"
522,"kanʌstóhale̲","cornbread","./audio/522.mp3"
523,"yonukwalahní:lʌ̲","cheese","./audio/523.mp3"
524,"teka’walahlihtu","(ground) chopped meat","./audio/524.mp3"
525,"ola:n̲á̲","cornsoup","./audio/525.mp3"
526,"tekantlahtayestu̲","salad","./audio/526.mp3"
527,"tehsa’nhuskwa’lho:lók","you put your pants on","./audio/527.mp3"
528,"sa’nhuskwá:lh̲a̲’","your pants","./audio/528.mp3"
529,"a’nhuskwá:lh̲a’","pants","./audio/529.mp3"
530,"wahíyu̲","I gave (or give) to him","./audio/530.mp3"
531,"wa'kheyu̲","I gave (or give) to her","./audio/531.mp3"
532,"salha:lé: kʌ","are you ready?","./audio/532.mp3"
533,"watyokwalunyá:tu o’wa:l̲u̲","smoked meat","./audio/533.mp3"
534,"salú:tat","you shoot","./audio/534.mp3"
535,"onʌ:ya̲","bullets","./audio/535.mp3"
536,"yutlistayʌta:khwa̲’","traps","./audio/536.mp3"
537,"kohslake:ne̲’","winter","./audio/537.mp3"
538,"kayu:kwíl̲e̲’","arrow","./audio/538.mp3"
539,"a’ʌ:ná̲","bow","./audio/539.mp3"
540,"káhul̲e̲’","gun","./audio/540.mp3"
541,"shekoli Barbara ní: yukyats","hello, my name is Barbara","./audio/541.mp3"
542,"náhte’ yesa:yáts","what is your name?","./audio/542.mp3"
543,"yah te’wakata’kalíte̲","I am not well","./audio/543.mp3"
544,"wakata’kalité: ki","I am well","./audio/544.mp3"
545,"sata’kalíte: kʌ","are you well?","./audio/545.mp3"
546,"shekoli ohniyotuháti","hello, how’s it going?","./audio/546.mp3"
547,"wakatshanu:ní tsi’ sakúk","I am happy to see you","./audio/547.mp3"
548,"sʌnʌsliyóste̲’","(you) have a good day","./audio/548.mp3"
549,"nʌki’wah","see you again (goodbye)","./audio/549.mp3"
550,"atyanlúhsla’","ghost","./audio/550.mp3"
551,"tho’nʌ:","next","./audio/551.mp3"
552,"yakukwehuwé̲","original person female","./audio/552.mp3"
553,"lukwehuwé̲","original person male","./audio/553.mp3"
554,"ukwehuwé̲","original person","./audio/554.mp3"
555,"ʌtekheyú: náhte’ wakí","I will give it to them what I have","./audio/555.mp3"
556,"katukwe’tiyóstha’ tyótkut","I always try to be a good person","./audio/556.mp3"
557,"kheya’takénhas","I help them or her","./audio/557.mp3"
558,"Oskanhe’ yukniyo:té: nen teyakyatátisnye","together the two of us work we take care of each other","./audio/558.mp3"
559,"Tyótkut tewaktíhʌ nen akwa:tsil̲é̲","always I care about my family","./audio/559.mp3"
560,"ni’ khenolúkhwa akwa:tsil̲é̲","I love my family","./audio/560.mp3"
561,"Shekolí tsi’ ni wakatshánu:ni̲","hello I am so happy","./audio/561.mp3"
562,"laksótha̲","my grandfather","./audio/562.mp3"
563,"aksótha̲","my grandmother","./audio/563.mp3"
564,"né: ka’í:kʌ aknulhá","this is my mother","./audio/564.mp3"
565,"né: ka’í:kʌ lake’niha̲","this is my father","./audio/565.mp3"
566,"úhka’ sanulhá","who is your mother?","./audio/566.mp3"
567,"úhka’ náhte’ ya’níha̲","who is your father?","./audio/567.mp3"
568,"úhka’ ka’í:kʌ̲","who is this?","./audio/568.mp3"
569,"né: ka’í:kʌ laowá:tsil̲e̲’","this is his family","./audio/569.mp3"
570,"né: ka’í:kʌ akohwá:tsil̲e̲’","this is her family","./audio/570.mp3"
571,"né: ka’í:kʌ sahwá:tsil̲e̲’","this is your family","./audio/571.mp3"
572,"né: ka’í:kʌ akhwá:tsil̲e̲’","this is my family","./audio/572.mp3"
573,"akohwá:tsile’ ka’í:kʌ̲","her family, this is","./audio/573.mp3"
574,"laotshe:nʌ̲́:","his pet","./audio/574.mp3"
575,"akotshe:nʌ̲́:","her pet","./audio/575.mp3"
576,"satshe:nʌ̲́:","your pet","./audio/576.mp3"
577,"akitshe:nʌ̲́:","my pet","./audio/577.mp3"
578,"laowá:tsile̲’","his family","./audio/578.mp3"
579,"akowá:tsile̲’","her family","./audio/579.mp3"
580,"sahwá:tsile̲’","your family","./audio/580.mp3"
581,"akhwá:tsile̲’","my family","./audio/581.mp3"
582,"Se’nikulalak tsi’ ní:yot tsi’ ʌhetsya’tahawe̲’","you be careful with the baby","./audio/582.mp3"
583,"tekawiláke̲’","two babies","./audio/583.mp3"
584,"kʌ’ nikawí:la né: ka’í:kʌ̲","this is a baby","./audio/584.mp3"
585,"loslʌ́htalahse̲’","he is a sleepy baby","./audio/585.mp3"
586,"nyoh wí: laksa’tiyo̲","he is a nice looking baby boy","./audio/586.mp3"
587,"lonu’utste̲’","he has no hair","./audio/587.mp3"
588,"na’tehakahlí:yose̲’","he has nice eyes","./audio/588.mp3"
589,"lonuhkwíslehs","he has lots of hair","./audio/589.mp3"
590,"lonuhwaktánihe̲’","he is sick","./audio/590.mp3"
591,"lota’kalí:te̲","he is healthy","./audio/591.mp3"
592,"lolehse̲","he is fat","./audio/592.mp3"
593,"owilá:se̲:’","new baby","./audio/593.mp3"
594,"kʌ’ nú:kwa hetshátleha̲’","here is your grandson","./audio/594.mp3"
